Customer_ID,Age,Location,Income_Level,Total_Transactions,Avg_Transaction_Value,Max_Transaction_Value,Min_Transaction_Value,Total_Spent,Active_Days,Last_Transaction_Days_Ago,Loyalty_Points_Earned,Referral_Count,Cashback_Received,App_Usage_Frequency,Preferred_Payment_Method,Support_Tickets_Raised,Issue_Resolution_Time,Customer_Satisfaction_Score,LTV
cust_1565,57,Suburban,High,763,13155.76282,40138.48411,5323.330115,10037847.03,360,257,3373,34,2049.595585,Weekly,Credit Card,4,45.87796667,1,1013905.905
cust_4945,25,Rural,Low,337,10419.69977,28200.69787,2182.574652,3511438.824,88,297,3512,35,2969.356368,Daily,Wallet Balance,16,27.53399594,1,361183.2042
cust_3994,47,Urban,High,944,5554.976168,12812.39959,1993.378206,5243897.503,21,40,4128,2,2203.237788,Weekly,Wallet Balance,7,22.5131866,1,532744.1314
cust_1554,19,Rural,Low,964,3063.120565,11400.58419,847.3116691,2952848.225,358,335,1156,0,3637.083958,Daily,Wallet Balance,16,12.03705761,1,296778.2805
cust_3136,37,Suburban,Low,902,12073.95091,49478.12775,5022.441429,10890703.72,33,212,1369,3,2188.409316,Daily,Wallet Balance,1,22.98501536,1,1092014.167
cust_2132,56,Urban,High,993,449.4343076,1076.844407,221.5786279,446288.2675,299,29,2415,38,324.4339769,Monthly,Debit Card,7,48.80827599,1,54096.60976
cust_2359,65,Rural,Low,189,11973.73727,23864.047,1574.561527,2263036.344,356,320,2999,39,749.3878723,Monthly,UPI,3,65.95593403,1,236826.9404
cust_2818,29,Rural,Middle,669,872.9186105,3215.036725,294.9229701,583982.5504,274,215,2962,27,4986.354588,Monthly,Wallet Balance,13,32.82846472,1,65529.07775
cust_2923,54,Suburban,Low,964,19573.55707,66319.47569,2835.157791,18868909.01,113,217,3293,41,1877.194609,Monthly,Debit Card,7,54.72103757,1,1897638.304
cust_3627,26,Urban,Low,490,7016.6981,25615.79996,3220.715526,3438182.069,207,301,1260,23,4607.228706,Monthly,Wallet Balance,17,61.75593293,1,347334.5926
cust_4134,52,Rural,Low,256,15192.93146,42958.81588,4430.600079,3889390.453,69,125,4643,9,524.031375,Weekly,UPI,1,18.47219384,1,399863.0296
cust_3204,51,Suburban,Middle,874,13088.15759,60057.62356,5058.642336,11439049.73,79,48,2321,8,4706.512363,Weekly,Wallet Balance,17,27.92861894,1,1147993.717
cust_2019,49,Suburban,Middle,662,4015.338224,10877.09396,1967.292713,2658153.904,290,187,1117,7,4501.118406,Monthly,Wallet Balance,14,64.44102118,1,267498.8312
cust_0672,67,Suburban,High,356,18913.66675,48151.22565,7462.786404,6733265.362,196,41,389,27,247.2519766,Daily,UPI,15,29.90127655,1,677680.9102
cust_3821,53,Suburban,Low,493,6723.638863,27694.47926,2238.879576,3314753.96,75,84,3908,9,1996.512446,Monthly,Credit Card,4,6.298153791,1,340193.1397
cust_4032,64,Rural,Middle,397,9033.284078,29598.03851,2144.697665,3586213.779,20,309,2021,14,4334.869354,Monthly,UPI,18,4.285062571,1,362895.9432
cust_4490,55,Urban,Middle,352,13466.8256,56588.23181,5209.038784,4740322.613,284,71,3301,10,530.435868,Daily,UPI,17,16.63607005,1,482369.0433
cust_4668,25,Suburban,Low,144,8826.122204,18052.96177,1362.437725,1270961.597,143,342,1023,3,1968.642851,Monthly,Wallet Balance,13,3.022224207,1,129457.8383
cust_6249,69,Rural,Middle,107,5605.956055,23045.93632,2275.082178,599837.2979,307,262,4852,32,3246.677139,Monthly,Credit Card,12,17.4691082,1,72264.39122
cust_5354,40,Rural,Low,2,18883.13069,48977.97515,7515.914371,37766.26139,192,146,3587,15,1211.927074,Monthly,Debit Card,17,35.56569857,1,12844.6626
cust_3658,62,Suburban,High,335,5411.187245,12103.03443,1756.068832,1812747.727,4,205,161,42,3013.758731,Monthly,Credit Card,5,5.749755966,1,185289.8934
cust_3338,21,Rural,Low,601,4903.141499,19568.27399,1802.60493,2946788.041,295,91,4236,28,1598.512832,Weekly,Debit Card,11,23.30519736,1,306151.5476
cust_5574,40,Urban,Low,832,10170.45731,50728.25139,3188.323859,8461820.481,311,310,2242,33,2028.459524,Monthly,Debit Card,20,49.11583546,1,853951.8183
cust_2827,36,Suburban,High,670,10279.80834,37261.04436,5070.997182,6887471.587,158,231,4183,1,894.8865323,Weekly,Wallet Balance,19,48.7061373,1,697765.7154
cust_2792,67,Rural,Middle,401,14065.11195,57447.42657,4599.777613,5640109.892,5,198,117,39,4259.030143,Daily,Debit Card,6,7.349031733,1,567015.4741
cust_3264,61,Rural,Middle,695,7769.536481,37918.1174,3604.329572,5399827.854,191,58,2312,49,1959.8445,Daily,Credit Card,4,33.45632007,1,549526.8632
cust_6602,36,Urban,Low,487,14578.49591,69546.51537,5612.123906,7099727.508,332,354,2064,0,3968.460485,Daily,Credit Card,17,13.79555259,1,713116.5206
cust_0438,44,Urban,Low,272,12607.42692,62002.48685,5555.2178,3429220.122,25,290,3838,47,3872.715894,Weekly,Wallet Balance,8,15.91045135,1,354361.6542
cust_2457,68,Urban,High,373,1149.780705,2513.149237,132.9558065,428868.2029,11,310,513,25,3314.445118,Monthly,Debit Card,15,46.37688339,1,45755.59773
cust_2252,35,Urban,Middle,245,5655.721054,23702.53124,1830.39095,1385651.658,106,7,1868,19,4097.432567,Monthly,Credit Card,3,9.222507997,1,143152.4495
cust_1386,67,Suburban,Middle,638,13881.84317,69018.55449,2203.564209,8856615.941,105,350,330,40,4662.870135,Monthly,Debit Card,14,47.07450986,1,888990.1591
cust_5027,55,Urban,Low,50,11180.31436,47817.36723,2081.709198,559015.7179,258,103,897,45,1128.615879,Monthly,Credit Card,9,17.63968979,1,62631.26385
cust_1395,41,Rural,Middle,750,2736.436892,8923.082529,754.685464,2052327.669,76,105,4866,41,361.0564028,Monthly,Credit Card,19,12.42364794,1,219884.2387
cust_1089,52,Rural,High,73,810.8106596,3914.66395,111.9141681,59189.17815,124,248,767,31,565.0512711,Daily,Wallet Balance,2,33.53836803,1,11270.39218
cust_1824,61,Rural,Low,601,15228.66235,21614.11523,4167.003117,9152426.074,300,228,1784,35,395.0493215,Daily,Credit Card,20,31.55033019,1,923113.0828
cust_4385,43,Rural,High,206,1374.303621,5540.794768,616.3786994,283106.5459,298,210,1512,39,1129.014514,Daily,Debit Card,18,20.54306547,1,35670.14733
cust_5709,47,Rural,Low,655,8162.70774,24391.79982,2302.687143,5346573.57,261,330,576,37,2500.792828,Daily,Debit Card,2,7.404547885,1,539258.9606
cust_5180,66,Urban,High,842,11605.48844,13040.0576,1425.112973,9771821.262,118,36,3922,47,2747.3863,Monthly,Wallet Balance,1,19.03694595,1,989352.4331
cust_5135,41,Rural,Low,89,9518.922236,20503.03667,3923.48946,847184.079,152,107,2806,6,4861.781884,Weekly,UPI,20,4.760336068,1,89499.51696
cust_1376,49,Suburban,Low,276,650.4249627,1952.407733,82.07564685,179517.2897,167,268,821,47,3981.348773,Weekly,Credit Card,5,23.43473918,1,23303.05458
cust_1771,31,Suburban,Middle,199,193.4081331,930.7510125,46.41622546,38488.21849,358,232,3131,37,3903.061484,Monthly,Wallet Balance,0,10.25531926,1,12859.29111
cust_0624,51,Rural,High,762,13105.62832,56590.27474,4828.663979,9986488.783,15,332,2029,14,1877.629944,Weekly,Credit Card,20,31.46877127,1,1004168.063
cust_5067,21,Suburban,High,533,14292.87684,58655.10143,3872.419168,7618103.356,28,308,1029,14,3718.163828,Monthly,Wallet Balance,13,67.84147688,1,764409.2537
cust_5713,42,Urban,Middle,946,8680.055348,21782.84277,1420.437611,8211332.359,186,176,163,37,802.7198318,Weekly,Debit Card,5,32.92006102,1,825757.876
cust_6451,59,Rural,High,436,10757.15018,45229.78825,4160.087066,4690117.479,4,186,1875,36,910.4607267,Daily,UPI,2,66.47602918,1,476906.5175
cust_5932,47,Suburban,High,973,17634.8231,41253.75082,7934.816605,17158682.87,222,212,4210,20,35.63810046,Monthly,Wallet Balance,10,6.050648596,1,1727270.468
cust_6644,28,Urban,High,764,3925.05703,13597.63159,1244.889716,2998743.571,242,243,4227,24,963.6371745,Monthly,UPI,13,65.53192861,1,311246.5385
cust_3545,53,Rural,Low,400,12145.66476,30172.85811,5828.256029,4858265.902,120,184,154,31,771.8293696,Weekly,UPI,10,29.60329571,1,489848.6756
cust_0646,64,Rural,Low,284,1910.98242,5414.045595,779.8323346,542719.0074,81,134,2554,50,2923.614295,Monthly,Wallet Balance,10,11.76563431,1,63918.09359
cust_1497,22,Rural,Middle,227,17340.20048,61848.85066,6232.908968,3936225.51,96,100,3915,35,4658.330926,Daily,Credit Card,10,28.70524425,1,403623.3855
cust_3423,56,Suburban,Low,53,13243.56455,33441.34895,2059.752913,701908.921,152,215,1758,18,2067.45692,Monthly,Wallet Balance,16,30.4421903,1,75473.16364
cust_0856,28,Urban,Middle,486,2686.120653,10213.94439,982.5189633,1305454.637,285,73,4383,10,4161.527109,Daily,Credit Card,2,11.86695748,1,139230.7002
cust_5398,62,Rural,Middle,661,19203.90702,43560.23769,6445.175622,12693782.54,220,226,2016,36,3545.808018,Weekly,Credit Card,19,30.00677945,1,1276237.35
cust_0093,36,Rural,Low,402,11400.87132,15548.95152,1334.498956,4583150.271,110,33,3463,36,3085.511058,Daily,Credit Card,20,47.70100488,1,468298.2716
cust_0539,62,Urban,High,87,9902.763966,19233.61795,4757.050502,861540.465,341,6,4702,28,412.3431666,Weekly,UPI,20,35.62086531,1,99151.87492
cust_5321,53,Urban,Low,456,3876.555976,8841.955019,648.3550635,1767709.525,328,315,4697,22,2432.030646,Monthly,Wallet Balance,13,46.94498405,1,188148.9372
cust_5253,55,Urban,Middle,751,7544.750019,37307.72695,1253.927807,5666107.264,128,91,3516,24,265.7608129,Daily,Debit Card,4,22.39082928,1,576909.846
cust_1751,59,Urban,Middle,263,13234.2096,29585.0672,1606.572824,3480597.124,123,63,709,39,1434.562064,Weekly,UPI,16,56.41974569,1,353660.4314
cust_2527,30,Suburban,High,617,15595.04003,39192.37911,2090.96384,9622139.699,197,77,1117,37,3518.21101,Weekly,Credit Card,6,27.14778931,1,967388.8644
cust_5641,18,Rural,High,225,15926.31324,62181.24909,4830.472367,3583420.48,153,191,4137,13,4598.109812,Monthly,Credit Card,8,35.02820999,1,366616.9931
cust_0262,37,Rural,Low,945,14989.07183,17149.9609,4434.670442,14164672.88,209,334,4580,19,439.6463095,Daily,Wallet Balance,10,62.85873407,1,1428307.465
cust_3725,55,Rural,Low,244,13467.37615,63350.49226,4999.454762,3286039.779,322,318,4073,30,4585.064084,Daily,Credit Card,10,13.43360732,1,338457.4459
cust_4811,25,Rural,High,205,821.5960374,1364.051914,120.8779626,168427.1877,345,357,3055,18,1288.207523,Daily,UPI,16,33.11751222,1,25108.615
cust_0654,64,Rural,High,414,12838.44765,24300.25217,6190.216439,5315117.328,164,102,2104,8,2861.272759,Daily,Wallet Balance,8,29.57358262,1,536089.0964
cust_5049,18,Urban,Low,371,4085.6396,12096.89392,562.7617956,1515772.291,325,123,3780,41,1398.233082,Daily,Wallet Balance,18,26.09805116,1,163538.1126
cust_3793,44,Rural,Low,816,17736.24057,80179.70773,8483.540766,14472772.3,30,26,2412,1,3541.409794,Monthly,Credit Card,20,13.79089557,1,1451430.525
cust_2111,23,Rural,Low,583,15062.45951,74359.57371,3920.519825,8781413.897,329,267,2711,28,1812.050876,Weekly,UPI,14,30.20664535,1,886457.3642
cust_0447,51,Rural,High,59,13996.73153,15372.98053,5229.561725,825807.1605,194,27,307,11,4947.691671,Weekly,Debit Card,16,64.58487926,1,82820.87022
cust_1393,58,Suburban,High,462,19393.49833,55393.57325,6319.428101,8959796.23,60,12,1703,28,2361.491674,Daily,Wallet Balance,3,15.09485538,1,902004.8771
cust_6676,67,Urban,High,301,18764.59632,50687.67489,8659.409218,5648143.492,208,54,220,13,4215.191949,Weekly,Credit Card,13,49.15719948,1,565446.7532
